filename,brisque_score,niqe_score,brisque_category,niqe_category,quality_category,preprocessing_decision,error,class,filepath
dominant_follicle_0001.jpg,34.531005859375,5.9512009358597355,poor,poor,poor,enhance,,dominant_follicle,data\raw\UltraSound\Ovarian_US\dominant_follicle\dominant_follicle_0001.jpg
dominant_follicle_0002.jpg,24.37261962890625,6.1168729754121305,poor,poor,poor,enhance,,dominant_follicle,data\raw\UltraSound\Ovarian_US\dominant_follicle\dominant_follicle_0002.jpg
dominant_follicle_0003.jpg,36.83880615234375,7.382234187465898,unusable,poor,review,manual_review,,dominant_follicle,data\raw\UltraSound\Ovarian_US\dominant_follicle\dominant_follicle_0003.jpg
dominant_follicle_0004.jpg,43.73138427734375,8.264618937232099,unusable,unusable,unusable,reject,,dominant_follicle,data\raw\UltraSound\Ovarian_US\dominant_follicle\dominant_follicle_0004.jpg
dominant_follicle_0005.jpg,27.47491455078125,5.887856227926185,poor,poor,poor,enhance,,dominant_follicle,data\raw\UltraSound\Ovarian_US\dominant_follicle\dominant_follicle_0005.jpg
dominant_follicle_0006.jpg,37.65838623046875,6.110732312674914,unusable,poor,review,manual_review,,dominant_follicle,data\raw\UltraSound\Ovarian_US\dominant_follicle\dominant_follicle_0006.jpg
dominant_follicle_0007.jpg,42.47528076171875,5.345457406318498,unusable,good,review,manual_review,,dominant_follicle,data\raw\UltraSound\Ovarian_US\dominant_follicle\dominant_follicle_0007.jpg
dominant_follicle_0008.jpg,27.44073486328125,7.683936993950142,poor,poor,poor,enhance,,dominant_follicle,data\raw\UltraSound\Ovarian_US\dominant_follicle\dominant_follicle_0008.jpg
dominant_follicle_0009.jpg,32.82171630859375,7.790381063347557,poor,poor,poor,enhance,,dominant_follicle,data\raw\UltraSound\Ovarian_US\dominant_follicle\dominant_follicle_0009.jpg
dominant_follicle_0010.jpg,83.50531005859375,15.873421567545176,unusable,unusable,unusable,reject,,dominant_follicle,data\raw\UltraSound\Ovarian_US\dominant_follicle\dominant_follicle_0010.jpg
dominant_follicle_0011.jpg,26.49609375,5.29269431982822,poor,good,poor,enhance,,dominant_follicle,data\raw\UltraSound\Ovarian_US\dominant_follicle\dominant_follicle_0011.jpg
dominant_follicle_0012.jpg,22.841796875,6.655480300416927,poor,poor,poor,enhance,,dominant_follicle,data\raw\UltraSound\Ovarian_US\dominant_follicle\dominant_follicle_0012.jpg
dominant_follicle_0013.jpg,22.74383544921875,5.772219599389306,poor,poor,poor,enhance,,dominant_follicle,data\raw\UltraSound\Ovarian_US\dominant_follicle\dominant_follicle_0013.jpg
dominant_follicle_0014.jpg,46.35028076171875,7.205645343902407,unusable,poor,review,manual_review,,dominant_follicle,data\raw\UltraSound\Ovarian_US\dominant_follicle\dominant_follicle_0014.jpg
dominant_follicle_0015.jpg,33.93780517578125,6.614692548852413,poor,poor,poor,enhance,,dominant_follicle,data\raw\UltraSound\Ovarian_US\dominant_follicle\dominant_follicle_0015.jpg
dominant_follicle_0016.jpg,18.6202392578125,7.955271685119398,poor,poor,poor,enhance,,dominant_follicle,data\raw\UltraSound\Ovarian_US\dominant_follicle\dominant_follicle_0016.jpg
dominant_follicle_0017.jpg,23.71356201171875,6.267933291050854,poor,poor,poor,enhance,,dominant_follicle,data\raw\UltraSound\Ovarian_US\dominant_follicle\dominant_follicle_0017.jpg
dominant_follicle_0018.jpg,21.30072021484375,4.862853182839782,poor,good,poor,enhance,,dominant_follicle,data\raw\UltraSound\Ovarian_US\dominant_follicle\dominant_follicle_0018.jpg
dominant_follicle_0019.jpg,28.69403076171875,5.962940894413251,poor,poor,poor,enhance,,dominant_follicle,data\raw\UltraSound\Ovarian_US\dominant_follicle\dominant_follicle_0019.jpg
